ticker,name,exchange,region,currency,sector
HAL,Halliburton,US,US,USD,Energy
HIG,Hartford (The),US,US,USD,Financials
HAS,Hasbro,US,US,USD,Consumer Discretionary
HCA,HCA Healthcare,US,US,USD,Health Care
DOC,Healthpeak Properties,US,US,USD,Real Estate
HSIC,Henry Schein,US,US,USD,Health Care
HSY,Hershey Company (The),US,US,USD,Consumer Staples
HPE,Hewlett Packard Enterprise,US,US,USD,Information Technology
HLT,Hilton Worldwide,US,US,USD,Consumer Discretionary
HON,Honeywell,US,US,USD,Industrials
HRL,Hormel Foods,US,US,USD,Consumer Staples
HST,Host Hotels & Resorts,US,US,USD,Real Estate
HWM,Howmet Aerospace,US,US,USD,Industrials
HPQ,HP Inc.,US,US,USD,Information Technology
HUBB,Hubbell Incorporated,US,US,USD,Industrials
HUM,Humana,US,US,USD,Health Care
HBAN,Huntington Bancshares,US,US,USD,Financials
HII,Huntington Ingalls Industries,US,US,USD,Industrials
IBM,IBM,US,US,USD,Information Technology
IEX,IDEX Corporation,US,US,USD,Industrials
IDXX,Idexx Laboratories,US,US,USD,Health Care
ITW,Illinois Tool Works,US,US,USD,Industrials
INCY,Incyte,US,US,USD,Health Care
IR,Ingersoll Rand,US,US,USD,Industrials
PODD,Insulet Corporation,US,US,USD,Health Care
INTC,Intel,US,US,USD,Information Technology
IBKR,Interactive Brokers,US,US,USD,Financials
ICE,Intercontinental Exchange,US,US,USD,Financials
IFF,International Flavors & Fragrances,US,US,USD,Materials
IP,International Paper,US,US,USD,Materials
INTU,Intuit,US,US,USD,Information Technology
ISRG,Intuitive Surgical,US,US,USD,Health Care
IVZ,Invesco,US,US,USD,Financials
INVH,Invitation Homes,US,US,USD,Real Estate
IQV,IQVIA,US,US,USD,Health Care
IRM,Iron Mountain,US,US,USD,Real Estate
JBHT,J.B. Hunt,US,US,USD,Industrials
JBL,Jabil,US,US,USD,Information Technology
JKHY,Jack Henry & Associates,US,US,USD,Financials
J,Jacobs Solutions,US,US,USD,Industrials
JCI,Johnson Controls,US,US,USD,Industrials
KVUE,Kenvue,US,US,USD,Consumer Staples
KDP,Keurig Dr Pepper,US,US,USD,Consumer Staples
KEY,KeyCorp,US,US,USD,Financials
KEYS,Keysight Technologies,US,US,USD,Information Technology
KMB,Kimberly-Clark,US,US,USD,Consumer Staples
KIM,Kimco Realty,US,US,USD,Real Estate
KMI,Kinder Morgan,US,US,USD,Energy
KKR,KKR & Co.,US,US,USD,Financials
KLAC,KLA Corporation,US,US,USD,Information Technology
KHC,Kraft Heinz,US,US,USD,Consumer Staples
KR,Kroger,US,US,USD,Consumer Staples
LHX,L3Harris,US,US,USD,Industrials
LH,Labcorp,US,US,USD,Health Care
LRCX,Lam Research,US,US,USD,Information Technology
LVS,Las Vegas Sands,US,US,USD,Consumer Discretionary
LDOS,Leidos,US,US,USD,Industrials
LEN,Lennar,US,US,USD,Consumer Discretionary
LII,Lennox International,US,US,USD,Industrials
LLY,Lilly (Eli),US,US,USD,Health Care
LIN,Linde plc,US,US,USD,Materials
LYV,Live Nation Entertainment,US,US,USD,Communication Services
LMT,Lockheed Martin,US,US,USD,Industrials
L,Loews Corporation,US,US,USD,Financials
LOW,Lowe's,US,US,USD,Consumer Discretionary
LULU,Lululemon Athletica,US,US,USD,Consumer Discretionary
LITE,Lumentum,US,US,USD,Information Technology
LYB,LyondellBasell,US,US,USD,Materials
MTB,M&T Bank,US,US,USD,Financials
MPC,Marathon Petroleum,US,US,USD,Energy
MAR,Marriott International,US,US,USD,Consumer Discretionary
MRSH,Marsh McLennan,US,US,USD,Financials
MLM,Martin Marietta Materials,US,US,USD,Materials
MRVL,Marvell Technology,US,US,USD,Information Technology
MAS,Masco,US,US,USD,Industrials
MA,Mastercard,US,US,USD,Financials
MKC,McCormick & Company,US,US,USD,Consumer Staples
MCD,McDonald's,US,US,USD,Consumer Discretionary
MCK,McKesson Corporation,US,US,USD,Health Care
MDT,Medtronic,US,US,USD,Health Care
MRK,Merck & Co.,US,US,USD,Health Care
META,Meta Platforms,US,US,USD,Communication Services
MET,MetLife,US,US,USD,Financials
MTD,Mettler Toledo,US,US,USD,Health Care
MGM,MGM Resorts,US,US,USD,Consumer Discretionary
MCHP,Microchip Technology,US,US,USD,Information Technology
MU,Micron Technology,US,US,USD,Information Technology
MAA,Mid-America Apartment Communities,US,US,USD,Real Estate
MRNA,Moderna,US,US,USD,Health Care
TAP,Molson Coors Beverage Company,US,US,USD,Consumer Staples
MDLZ,Mondelez International,US,US,USD,Consumer Staples
MPWR,Monolithic Power Systems,US,US,USD,Information Technology
MNST,Monster Beverage,US,US,USD,Consumer Staples
MCO,Moody's Corporation,US,US,USD,Financials
MS,Morgan Stanley,US,US,USD,Financials
MOS,Mosaic Company (The),US,US,USD,Materials
MSI,Motorola Solutions,US,US,USD,Information Technology
MSCI,MSCI Inc.,US,US,USD,Financials
NDAQ,"Nasdaq, Inc.",US,US,USD,Financials
NTAP,NetApp,US,US,USD,Information Technology
NFLX,Netflix,US,US,USD,Communication Services
NEM,Newmont,US,US,USD,Materials
NWSA,News Corp (Class A),US,US,USD,Communication Services
NWS,News Corp (Class B),US,US,USD,Communication Services
NEE,NextEra Energy,US,US,USD,Utilities
NKE,"Nike, Inc.",US,US,USD,Consumer Discretionary
NI,NiSource,US,US,USD,Utilities
NDSN,Nordson Corporation,US,US,USD,Industrials
NSC,Norfolk Southern,US,US,USD,Industrials
NTRS,Northern Trust,US,US,USD,Financials
NOC,Northrop Grumman,US,US,USD,Industrials
NCLH,Norwegian Cruise Line Holdings,US,US,USD,Consumer Discretionary
NRG,NRG Energy,US,US,USD,Utilities
NUE,Nucor,US,US,USD,Materials
NVR,"NVR, Inc.",US,US,USD,Consumer Discretionary
NXPI,NXP Semiconductors,US,US,USD,Information Technology
ORLY,O’Reilly Automotive,US,US,USD,Consumer Discretionary
OXY,Occidental Petroleum,US,US,USD,Energy
ODFL,Old Dominion,US,US,USD,Industrials
OMC,Omnicom Group,US,US,USD,Communication Services
ON,ON Semiconductor,US,US,USD,Information Technology
OKE,Oneok,US,US,USD,Energy
ORCL,Oracle Corporation,US,US,USD,Information Technology
OTIS,Otis Worldwide,US,US,USD,Industrials
PCAR,Paccar,US,US,USD,Industrials
PKG,Packaging Corporation of America,US,US,USD,Materials
PLTR,Palantir Technologies,US,US,USD,Information Technology
PANW,Palo Alto Networks,US,US,USD,Information Technology
PSKY,Paramount Skydance Corporation,US,US,USD,Communication Services
PH,Parker Hannifin,US,US,USD,Industrials
PAYX,Paychex,US,US,USD,Industrials
PYPL,PayPal,US,US,USD,Financials
PNR,Pentair,US,US,USD,Industrials
PEP,PepsiCo,US,US,USD,Consumer Staples
PCG,PG&E Corporation,US,US,USD,Utilities
PM,Philip Morris International,US,US,USD,Consumer Staples
PSX,Phillips 66,US,US,USD,Energy
PNW,Pinnacle West Capital,US,US,USD,Utilities
PNC,PNC Financial Services,US,US,USD,Financials
PPG,PPG Industries,US,US,USD,Materials
PPL,PPL Corporation,US,US,USD,Utilities
PFG,Principal Financial Group,US,US,USD,Financials
PGR,Progressive Corporation,US,US,USD,Financials
PLD,Prologis,US,US,USD,Real Estate
PRU,Prudential Financial,US,US,USD,Financials
PEG,Public Service Enterprise Group,US,US,USD,Utilities
PTC,PTC Inc.,US,US,USD,Information Technology
PSA,Public Storage,US,US,USD,Real Estate
PHM,PulteGroup,US,US,USD,Consumer Discretionary
PWR,Quanta Services,US,US,USD,Industrials
QCOM,Qualcomm,US,US,USD,Information Technology
DGX,Quest Diagnostics,US,US,USD,Health Care
Q,Qnity Electronics,US,US,USD,Information Technology
RL,Ralph Lauren Corporation,US,US,USD,Consumer Discretionary
RJF,Raymond James Financial,US,US,USD,Financials
RTX,RTX Corporation,US,US,USD,Industrials
O,Realty Income,US,US,USD,Real Estate
REG,Regency Centers,US,US,USD,Real Estate
REGN,Regeneron Pharmaceuticals,US,US,USD,Health Care
RF,Regions Financial Corporation,US,US,USD,Financials
RSG,Republic Services,US,US,USD,Industrials
RMD,ResMed,US,US,USD,Health Care
RVTY,Revvity,US,US,USD,Health Care
HOOD,Robinhood Markets,US,US,USD,Financials
ROK,Rockwell Automation,US,US,USD,Industrials
ROL,"Rollins, Inc.",US,US,USD,Industrials
ROP,Roper Technologies,US,US,USD,Information Technology
ROST,Ross Stores,US,US,USD,Consumer Discretionary
RCL,Royal Caribbean Group,US,US,USD,Consumer Discretionary
